ko	pathway	product	map
V1000550	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000551	K01208	Starch and sucrose metabolism	cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase	map00500
V1000552	K02529	Transcription factors	LacI family transcriptional regulator, galactose operon repressor	ko03000
V1000553	K03492	Transcription factors	GntR family transcriptional regulator, regulator of glucomannan utilization	ko03000
V1000554	K01807	Pentose phosphate pathway	ribose 5-phosphate isomerase A	map00030
V1000555	K09157	Function unknown	uncharacterized protein	99997
V1000556	K09013	Transporters	Fe-S cluster assembly ATP-binding protein	ko02000
V1000557	K02028	Transporters	polar amino acid transport system ATP-binding protein	ko02000
V1000558	K01090	Enzymes with EC numbers	protein phosphatase	99980
V1000559	K03500	Ribosome biogenesis	16S rRNA (cytosine967-C5)-methyltransferase	ko03009
V1000560	K00604	Aminoacyl-tRNA biosynthesis	methionyl-tRNA formyltransferase	map00970
V1000561	K04066	Homologous recombination	primosomal protein N' (replication factor Y) (superfamily II helicase)	map03440
V1000562	K03060	RNA polymerase	DNA-directed RNA polymerase subunit omega	map03020
V1000563	K00942	Purine metabolism	guanylate kinase	map00230
V1000564	K03531	Cell division	cell division protein FtsZ	map04112
V1000565	K01925	Peptidoglycan biosynthesis	UDP-N-acetylmuramoylalanine--D-glutamate ligase	map00550
V1000566	K01000	Peptidoglycan biosynthesis	phospho-N-acetylmuramoyl-pentapeptide-transferase	map00550
V1000567	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000569	K03570	Chromosome and associated proteins	rod shape-determining protein MreC	ko03036
V1000570	K03569	Cytoskeleton proteins	rod shape-determining protein MreB and related proteins	ko04812
V1000571	K03630	Replication and repair	DNA repair protein RadC	99976
V1000572	K11754	Folate biosynthesis	dihydrofolate synthase / folylpolyglutamate synthase	map00790
V1000573	K04487	Sulfur relay system	cysteine desulfurase	map04122
V1000574	K06286	Chromosome and associated proteins	septation ring formation regulator	ko03036
V1000575	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000578	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000583	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000584	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000587	K01834	Glycolysis / Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010
V1000588	K00762	Pyrimidine metabolism	orotate phosphoribosyltransferase	map00240
V1000589	K01591	Pyrimidine metabolism	orotidine-5'-phosphate decarboxylase	map00240
V1000590	K02825	Pyrimidine metabolism	pyrimidine operon attenuation protein / uracil phosphoribosyltransferase	map00240
V1000591	K00609	Alanine, aspartate and glutamate metabolism	aspartate carbamoyltransferase catalytic subunit	map00250
V1000592	K01465	Pyrimidine metabolism	dihydroorotase	map00240
V1000593	K01956	Alanine, aspartate and glutamate metabolism	carbamoyl-phosphate synthase small subunit	map00250
V1000594	K01955	Alanine, aspartate and glutamate metabolism	carbamoyl-phosphate synthase large subunit	map00250
V1000595	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000596	K04077	Molecular chaperones	chaperonin GroEL	ko03110
V1000597	K03572	Mismatch repair	DNA mismatch repair protein MutL	map03430
V1000598	K03210	Protein export	preprotein translocase subunit YajC	map03060
V1000599	K02346	DNA repair and recombination proteins	DNA polymerase IV	ko03400
V1000600	K06881	RNA degradation	bifunctional oligoribonuclease and PAP phosphatase NrnA	map03018
V1000601	K01872	Aminoacyl-tRNA biosynthesis	alanyl-tRNA synthetase	map00970
V1000602	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000603	K07447	Ribosome biogenesis	putative pre-16S rRNA nuclease	ko03009
V1000604	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000605	K07456	Mismatch repair	DNA mismatch repair protein MutS2	map03430
V1000606	K03671	Cysteine and methionine metabolism	thioredoxin	map00270
V1000607	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000608	K01516	Virion - Enterovirus	Enterovirus protein 2C	map03263
V1000609	K03442	Osmotic stress adaptation	small conductance mechanosensitive channel	ko02000
V1000610	K02529	Transcription factors	LacI family transcriptional regulator, galactose operon repressor	ko03000
V1000611	K01270	Glutathione metabolism	dipeptidase D	map00480
V1000612	K01126	Glycerophospholipid metabolism	glycerophosphoryl diester phosphodiesterase	map00564
V1000613	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000614	K01101	Aminobenzoate degradation	4-nitrophenyl phosphatase	map00627
V1000615	K03975	General function prediction only	membrane-associated protein	99996
V1000616	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000617	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000619	K00537	Enzymes with EC numbers	arsenate reductase (glutaredoxin)	99980
V1000620	K06198	General function prediction only	competence protein CoiA	99996
V1000621	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000622	K00858	Nicotinate and nicotinamide metabolism	NAD+ kinase	map00760
V1000623	K03466	Chromosome and associated proteins	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	ko03036
V1000624	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000625	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000626	K00995	Glycerophospholipid metabolism	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase	map00564
V1000627	K06950	Function unknown	uncharacterized protein	99997
V1000628	K13685	NotAssigned	NotAssigned	NotAssigned
V1000630	K03070	Bacterial secretion system	preprotein translocase subunit SecA	map03070
V1000631	K02836	Translation factors	peptide chain release factor 2	ko03012
V1000632	K00057	Glycerophospholipid metabolism	glycerol-3-phosphate dehydrogenase (NAD(P)+)	map00564
V1000633	K03702	Nucleotide excision repair	excinuclease ABC subunit B	map03420
V1000634	K03701	Nucleotide excision repair	excinuclease ABC subunit A	map03420
V1000635	K06958	Messenger RNA biogenesis	RNase adapter protein RapZ	ko03019
V1000636	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000637	K01358	Clp-dependent proteolysis	ATP-dependent Clp protease, protease subunit	ko01002
V1000638	K05311	Transcription factors	central glycolytic genes regulator	ko03000
V1000639	K00134	Glycolysis / Gluconeogenesis	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	map00010
V1000640	K00927	Glycolysis / Gluconeogenesis	phosphoglycerate kinase	map00010
V1000641	K01803	Glycolysis / Gluconeogenesis	triosephosphate isomerase (TIM)	map00010
V1000642	K01689	Glycolysis / Gluconeogenesis	enolase 1/2/3	map00010
V1000643	K12573	RNA degradation	ribonuclease R	map03018
V1000644	K03664	Protein processing	SsrA-binding protein	99975
V1000650	K01002	Enzymes with EC numbers	phosphoglycerol transferase	99980
V1000651	K01924	Peptidoglycan biosynthesis	UDP-N-acetylmuramate--alanine ligase	map00550
V1000659	K01868	Aminoacyl-tRNA biosynthesis	threonyl-tRNA synthetase	map00970
V1000660	K02916	Ribosome	large subunit ribosomal protein L35	map03010
V1000661	K02887	Ribosome	large subunit ribosomal protein L20	map03010
V1000676	K01890	Aminoacyl-tRNA biosynthesis	phenylalanyl-tRNA synthetase beta chain	map00970
V1000679	K02913	Ribosome	large subunit ribosomal protein L33	map03010
V1000682	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000685	K01915	Alanine aspartate and glutamate metabolism	glutamine synthetase	map00250
V1000713	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000714	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000715	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000716	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000729	K09015	General function prediction only	Fe-S cluster assembly protein SufD	99996
V1000731	K09014	General function prediction only	Fe-S cluster assembly protein SufB	99996
V1000734	K02888	Ribosome	large subunit ribosomal protein L21	map03010
V1000735	K02899	Ribosome	large subunit ribosomal protein L27	map03010
V1000736	K01271	Peptidases and inhibitors	Xaa-Pro dipeptidase	ko01002
V1000737	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000738	K03625	Transcription machinery	transcription antitermination protein NusB	ko03021
V1000739	K01491	One carbon pool by folate	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase	map00670
V1000740	K03601	Mismatch repair	exodeoxyribonuclease VII large subunit	map03430
V1000741	K13789	Terpenoid backbone biosynthesis	geranylgeranyl diphosphate synthase, type II	map00900
V1000742	K06442	Ribosome biogenesis	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase	ko03009
V1000743	K03631	DNA damage repair	DNA repair protein RecN (Recombination protein N)	ko03400
V1000745	K00942	Purine metabolism	guanylate kinase	map00230
V1000751	K02902	Ribosome	large subunit ribosomal protein L28	map03010
V1000755	K02031	Quorum sensing	peptide/nickel transport system ATP-binding protein	map02024
V1000756	K02032	Quorum sensing	peptide/nickel transport system ATP-binding protein	map02024
V1000757	K02034	Quorum sensing	peptide/nickel transport system permease protein	map02024
V1000758	K03529	Chromosome and associated proteins	chromosome segregation protein	ko03036
V1000759	K03110	Protein export	fused signal recognition particle receptor	map03060
V1000762	K01270	Glutathione metabolism	dipeptidase D	map00480
V1000766	K07456	Mismatch repair	DNA mismatch repair protein MutS2	map03430
V1000767	K07447	Ribosome biogenesis	putative pre-16S rRNA nuclease	ko03009
V1000770	K03210	Protein export	preprotein translocase subunit YajC	map03060
V1000771	K03551	Homologous recombination	holliday junction DNA helicase RuvB	map03440
V1000773	K03572	Mismatch repair	DNA mismatch repair protein MutL	map03430
V1000774	K03555	Mismatch repair	DNA mismatch repair protein MutS	map03430
V1000775	K01153	Prokaryotic defense system	type I restriction enzyme, R subunit	ko02048
V1000781	K04077	Molecular chaperones	chaperonin GroEL	ko03110
V1000793	K00975	Amino sugar and nucleotide sugar metabolism	glucose-1-phosphate adenylyltransferase	map00520
V1000801	K03431	Amino sugar and nucleotide sugar metabolism	phosphoglucosamine mutase	map00520
V1000809	K06925	Transfer RNA biogenesis	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	ko03016
V1000810	K00625	Citrate cycle (TCA cycle)	phosphate acetyltransferase	map00620
V1000814	K01803	Glycolysis / Gluconeogenesis	triosephosphate isomerase (TIM)	map00010
V1000815	K00927	Glycolysis / Gluconeogenesis	phosphoglycerate kinase	map00010
V1000816	K00134	Glycolysis / Gluconeogenesis	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	map00010
V1000818	K01358	Clp-dependent proteolysis	ATP-dependent Clp protease, protease subunit	ko01002
V1000820	K03778	Pyruvate metabolism	D-lactate dehydrogenase	map00620
V1000821	K07273	Structural proteins	lysozyme	99992
V1000823	K03549	Transporters	KUP system potassium uptake protein	ko02000
V1000824	K02074	Transporters	zinc/manganese transport system ATP-binding protein	ko02000
V1000825	K00841	Lysine biosynthesis	Putrescine aminotransferase	map00300
V1000826	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000827	K05540	Transfer RNA biogenesis	tRNA-dihydrouridine synthase B	ko03016
V1000828	K03798	Cell cycle	cell division protease FtsH	map04110
V1000829	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000830	K13052	Chromosome and associated proteins	cell division protein DivIC	ko03036
V1000831	K03723	Nucleotide excision repair	transcription-repair coupling factor (superfamily II helicase)	map03420
V1000832	K01056	Translation factors	peptidyl-tRNA hydrolase, PTH1 family	ko03012
V1000833	K01775	Alanine aspartate and glutamate metabolism	alanine racemase	map00250
V1000834	K05592	RNA degradation	ATP-dependent RNA helicase DeaD	map03018
V1000835	K01929	Peptidoglycan biosynthesis	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	map00550
V1000836	K02909	Ribosome	large subunit ribosomal protein L31	map03010
V1000837	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000840	K02115	Oxidative phosphorylation	F-type H+-transporting ATPase subunit gamma	map00190
V1000841	K02113	Oxidative phosphorylation	F-type H+-transporting ATPase subunit delta	map00190
V1000842	K02108	Oxidative phosphorylation	F-type H+-transporting ATPase subunit a	map00190
V1000843	K02493	Translation factors	release factor glutamine methyltransferase	ko03012
V1000844	K01992	Transporters	ABC-2 type transport system permease protein	ko02000
V1000845	K01810	Glycolysis / Gluconeogenesis	glucose-6-phosphate isomerase	map00010
V1000846	K01002	Enzymes with EC numbers	phosphoglycerol transferase	99980
V1000848	K02004	Transporters	putative ABC transport system permease protein	ko02000
V1000849	K02003	Transporters	putative ABC transport system ATP-binding protein	ko02000
V1000852	K02810	Phosphotransferase system (PTS)	sucrose PTS system EIIBCA or EIIBC component	map02060
V1000860	K02967	Ribosome	small subunit ribosomal protein S2	map03010
V1000861	K02357	Translation factors	elongation factor Ts	ko03012
V1000864	K00806	Peptidoglycan biosynthesis	undecaprenyl diphosphate synthase	map00550
V1000867	K03763	DNA replication	DNA polymerase III subunit alpha, Gram-positive type	map03030
V1000869	K02600	Transcription machinery	transcription termination/antitermination protein NusA	ko03021
V1000872	K02834	Ribosome biogenesis	ribosome-binding factor A	ko03009
V1000875	K03705	Transcription factors	heat-inducible transcriptional repressor	ko03000
V1000876	K03686	Chaperones and folding catalysts	molecular chaperone DnaJ	ko03110
V1000880	K00759	Purine metabolism	adenine phosphoribosyltransferase	map00230
V1000881	K03293	Transport	amino acid transporter, AAT family	99977
V1000882	K00925	Citrate cycle (TCA cycle)	acetate kinase	map00620
V1000883	K01784	Amino sugar and nucleotide sugar metabolism	UDP-glucose 4-epimerase	map00520
V1000884	K02026	Transporters	multiple sugar transport system permease protein	ko02000
V1000885	K07021	NotAssigned	NotAssigned	NotAssigned
V1000886	K02027	Transporters	multiple sugar transport system substrate-binding protein	ko02000
V1000887	K07024	Starch and sucrose metabolism	sucrose-6-phosphatase	map00500
V1000888	K06925	Transfer RNA biogenesis	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	ko03016
V1000890	K11072	ABC transporters	spermidine/putrescine transport system ATP-binding protein	map02010
V1000891	K11069	ABC transporters	spermidine/putrescine transport system substrate-binding protein	map02010
V1000892	K03431	Amino sugar and nucleotide sugar metabolism	phosphoglucosamine mutase	map00520
V1000893	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000894	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000895	K01485	Pyrimidine metabolism	cytosine/creatinine deaminase	map00240
V1000902	K03979	Ribosome biogenesis	GTPase	ko03009
V1000903	K00784	Transfer RNA biogenesis	ribonuclease Z	ko03016
V1000904	K02911	Ribosome	large subunit ribosomal protein L32	map03010
V1000905	K01119	Pyrimidine metabolism	2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase	map00240
V1000907	K00850	Glycolysis / Gluconeogenesis	6-phosphofructokinase 1	map00010
V1000915	K01529	Purine metabolism	inosine/xanthosine triphosphatase	map00230
V1000921	K00995	Glycerophospholipid metabolism	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase	map00564
V1000922	K03553	Homologous recombination	recombination protein RecA	map03440
V1000925	K03070	Bacterial secretion system	preprotein translocase subunit SecA	map03070
V1000929	K00057	Glycerophospholipid metabolism	glycerol-3-phosphate dehydrogenase (NAD(P)+)	map00564
V1000930	K00384	Selenocompound metabolism	thioredoxin reductase (NADPH)	map00450
V1000931	K03702	Nucleotide excision repair	excinuclease ABC subunit B	map03420
V1000935	K03152	Peptidases and inhibitors	protein deglycase	ko01002
V1000936	K01834	Glycolysis / Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010
V1000937	K01834	Glycolysis / Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010
V1000938	K01883	Aminoacyl-tRNA biosynthesis	cysteinyl-tRNA synthetase	map00970
V1000939	K11145	Ribosome biogenesis	mini-ribonuclease III	ko03009
V1000940	K03218	Ribosome biogenesis	23S rRNA (guanosine2251-2'-O)-methyltransferase	ko03009
V1000941	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000942	K02601	Transcription machinery	transcription termination/antitermination protein NusG	ko03021
V1000943	K02867	Ribosome	large subunit ribosomal protein L11	map03010
V1000944	K02863	Ribosome	large subunit ribosomal protein L1	map03010
